t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
0.0,0,0.0,0.0,1.348216538980657e-12,2.4688437730724228e-12,-6.938893903907228e-18,-6.938893903907228e-17,1.3482269972076266e-12,2.468784992869604e-12,2.905661822261152e-17,4.163336342344337e-17
0.02,0,0.0,0.0,2.3974849650323707e-12,4.390255996843379e-12,2.333476294136272e-11,4.273034703849987e-11,2.3973577313181583e-12,4.389999735720057e-12,2.3331682506150253e-11,4.2726003290916026e-11
0.04,0,0.0,0.0,3.392583383628723e-12,6.2124729713774875e-12,2.166302250430907e-11,3.9669156848276543e-11,3.3922123752959633e-12,6.211911468311332e-12,2.165765483619353e-11,3.966245387676537e-11
0.06,0,0.0,0.0,4.315513088511669e-12,7.902535103286852e-12,2.2388159034991695e-11,4.0997011341303846e-11,4.314810362886386e-12,7.901580775559008e-12,2.23800240492511e-11,4.0987421789928646e-11
0.08,0,0.0,0.0,5.164229675105025e-12,9.456698567876772e-12,2.3869462829895216e-11,4.3709591501794876e-11,5.163126172845641e-12,9.455283455960345e-12,2.3858149397065764e-11,4.3696574136831146e-11
0.1,0,0.0,0.0,6.010560736761071e-12,1.1006493651809486e-11,1.7913878713748943e-11,3.280370419744827e-11,6.008965463815017e-12,1.1004523331236235e-11,1.790337669782538e-11,3.279188032223601e-11
0.12,0,0.0,0.0,6.788918635728368e-12,1.2431816927881408e-11,1.926329842166785e-11,3.5274769216719903e-11,6.7867809659257185e-12,1.2429242146382398e-11,1.924980314038649e-11,3.525979508367527e-11
0.14,0,0.0,0.0,7.544636242710739e-12,1.3815681520245021e-11,1.6073857522780344e-11,2.943434385116461e-11,7.541887563401211e-12,1.3812432500303156e-11,1.6060809800155784e-11,2.941989707405668e-11
0.16,0,0.0,0.0,8.223029267625917e-12,1.5057949808482395e-11,1.9126474275904526e-11,3.502423351342543e-11,8.219653702186578e-12,1.5054013907432977e-11,1.910878573430086e-11,3.5004832366070104e-11
0.18,0,0.0,0.0,8.89729943206794e-12,1.6292668080551948e-11,1.4612306156736032e-11,2.6757943083488556e-11,8.893227214691071e-12,1.628797342533193e-11,1.4597171995450742e-11,2.6741497904936296e-11
0.2,0,0.0,0.0,9.49015646549892e-12,1.7378303606473395e-11,1.8716111993555273e-11,3.4272890081510354e-11,9.485403983683525e-12,1.737287073620873e-11,1.869459751932534e-11,3.4249464375690764e-11
0.22,0,0.0,0.0,1.0097246620989323e-11,1.8490002589343055e-11,1.2789372425686674e-11,2.341982163756029e-11,1.009173291866022e-11,1.8483746738505818e-11,1.2773232558466185e-11,2.3402391136073675e-11
0.24,0,0.0,0.0,1.0628343650191497e-11,1.94625433733597e-11,1.6783366363348762e-11,3.0733554590156587e-11,1.0635056851379827e-11,1.9479239163110547e-11,1.5320989702610754e-11,2.8071489577286002e-11
0.26,0,0.0,0.0,1.1172323021288291e-11,2.0458674037425712e-11,1.145931526752575e-11,2.0984200488349813e-11,1.1177109458606639e-11,2.0472449371632494e-11,1.1472094108011532e-11,2.1020532536830672e-11
0.28,0,0.0,0.0,1.1672201523594937e-11,2.137404793910333e-11,1.2372347504147063e-11,2.2656099218920644e-11,1.1665137522314122e-11,2.136671420048707e-11,1.3494050928736234e-11,2.47265541375441e-11
0.3,0,0.0,0.0,1.2147224838548854e-11,2.224390719317456e-11,1.1470161626059294e-11,2.100410123606622e-11,1.2139671844741013e-11,2.2236294288978764e-11,1.1409317067501146e-11,2.090751183292383e-11
0.32,0,0.0,0.0,1.258366394952856e-11,2.3043111215580417e-11,1.2275637971403963e-11,2.2478949257553893e-11,1.256511503626797e-11,2.3015953376269815e-11,1.3378953760828649e-11,2.4518054253519495e-11
0.34,0,0.0,0.0,1.2997389946566546e-11,2.3800723424659526e-11,1.160037127120872e-11,2.124260489733132e-11,1.2969641782136107e-11,2.3757315375837575e-11,1.2578590512929422e-11,2.3052323938621555e-11
