t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
0.0,0,0.0,0.0,1.348227003668462e-12,2.468784672267389e-12,1.1275702593849246e-17,0.0,1.348227029605485e-12,2.4687848004475825e-12,2.8189256484623115e-17,1.3877787807814457e-17
0.02,0,0.0,0.0,2.3975032706702876e-12,4.390150918927337e-12,2.3334902586602535e-11,4.2729375593353325e-11,2.3973569392886852e-12,4.3900038037788925e-12,2.3331663424192017e-11,4.2726128191006296e-11
0.04,0,0.0,0.0,3.4149432085262565e-12,6.253220645198486e-12,1.9181614196311925e-11,3.51241674634295e-11,3.4145386206208494e-12,6.2528136268399784e-12,1.9176645514595858e-11,3.5119185337606496e-11
0.06,0,0.0,0.0,4.371943121001866e-12,8.005616137803128e-12,1.8439901515454604e-11,3.376593449289089e-11,4.371182203113578e-12,8.004850767207843e-12,1.8432958718422876e-11,3.3758940087835754e-11
0.08,0,0.0,0.0,5.2602818790244705e-12,9.632283771728067e-12,1.905458646769831e-11,3.489145083968026e-11,5.259085976188817e-12,9.631080945505503e-12,1.9045184266458515e-11,3.488194455503191e-11
0.1,0,0.0,0.0,6.0999689441296746e-12,1.116986382112137e-11,1.7949173397591167e-11,3.2867472632425176e-11,6.098264909562887e-12,1.1168149931484998e-11,1.7938294946673317e-11,3.2856425913330156e-11
0.12,0,0.0,0.0,6.9062679027192264e-12,1.2646305914705586e-11,1.5504534722071694e-11,2.8390942374834083e-11,6.903982171135495e-12,1.264400707631312e-11,1.5493284172968247e-11,2.837952095546825e-11
0.14,0,0.0,0.0,7.654472290488157e-12,1.4016368811171932e-11,1.6049740963336445e-11,2.938922716300141e-11,7.651558932481372e-12,1.4013438949767845e-11,1.6036218793841206e-11,2.937562693094975e-11
0.16,0,0.0,0.0,8.385802997419092e-12,1.5355534020451724e-11,1.2440598030905026e-11,2.2780471953254278e-11,8.382191434897268e-12,1.5351902137273595e-11,1.2428735991776296e-11,2.2768467666800518e-11
0.18,0,0.0,0.0,9.063204024617664e-12,1.6595946459881135e-11,1.3072486669540861e-11,2.3937532511730808e-11,9.045806138016973e-12,1.6567659201739118e-11,1.4509399758055874e-11,2.6581556400451234e-11
0.2,0,0.0,0.0,9.690394447045061e-12,1.7744416404026652e-11,1.368644997681856e-11,2.506181373540528e-11,9.675145784385547e-12,1.7720683558287413e-11,1.3444104336735041e-11,2.463129700203126e-11
0.22,0,0.0,0.0,1.0285052793047369e-11,1.8833315985640496e-11,1.2704145027631064e-11,2.326297487975637e-11,1.0269522118994452e-11,1.880970813713604e-11,1.2707120945754102e-11,2.3282167860294578e-11
0.24,0,0.0,0.0,1.0846746231336417e-11,1.9861852019760507e-11,1.200844935642098e-11,2.198900783678681e-11,1.0830954177390077e-11,1.983842524863137e-11,1.200247323404624e-11,2.1992296872497263e-11
0.26,0,0.0,0.0,1.1387577521678796e-11,2.085218706983779e-11,1.0209485167000931e-11,1.8694948367148356e-11,1.1371469096237485e-11,2.0828867865441958e-11,1.020348345745492e-11,1.869696064638049e-11
0.28,0,0.0,0.0,1.18772201463018e-11,2.1748788585092294e-11,1.1933090800220203e-11,2.1850993237038097e-11,1.1860767515727344e-11,2.172550889075835e-11,1.1924646166339148e-11,2.1852020193335875e-11
0.3,0,0.0,0.0,1.2351181360327675e-11,2.2616675250404527e-11,1.0086630315708778e-11,1.8469975548995876e-11,1.2334341944097632e-11,2.2593379943559308e-11,1.0078395149687447e-11,1.846957309314945e-11
0.32,0,0.0,0.0,1.2805948006543361e-11,2.3449413767436e-11,8.745492177664183e-12,1.6014176096312838e-11,1.2781308746643074e-11,2.3412532328371537e-11,9.556812372718548e-12,1.7514795169759623e-11
0.34,0,0.0,0.0,1.3235037143594973e-11,2.4235133659363e-11,8.265296867066008e-12,1.5134948849748753e-11,1.3210472466829497e-11,2.4199098668210293e-11,8.252454275492482e-12,1.512499847589055e-11
0.36,0,0.0,0.0,1.363220437325485e-11,2.4962400420065786e-11,8.667184591554244e-12,1.5870832426045922e-11,1.3615351494269597e-11,2.4941196190531867e-11,7.798998426233883e-12,1.4294593286834356e-11
0.38,0,0.0,0.0,1.400877267280101e-11,2.56519477282072e-11,8.044909790422272e-12,1.473129951357066e-11,1.399006554182075e-11,2.56280413823648e-11,8.177177684975945e-12,1.4988649210678773e-11
0.4,0,0.0,0.0,1.4348412059728336e-11,2.6273873336442353e-11,9.388063243465083e-12,1.719079045781058e-11,1.4329282799402708e-11,2.624985353968462e-11,9.36936856224535e-12,1.7174803246255976e-11
0.42,0,0.0,0.0,1.468455213557171e-11,2.6889390876157247e-11,7.287527352406453e-12,1.3344408911208916e-11,1.4657637870834123e-11,2.6851784447579906e-11,8.08510983857369e-12,1.4821394112018993e-11
0.44,0,0.0,0.0,1.5008121700376742e-11,2.7481890259047096e-11,6.2205201926957e-12,1.1390569043534526e-11,1.498218244824453e-11,2.7446760529870882e-11,6.097020891632221e-12,1.1177531122896767e-11
0.46,0,0.0,0.0,1.5307525715845866e-11,2.803013930243322e-11,6.5339391883134645e-12,1.1964540469477924e-11,1.528136566724228e-11,2.7995271794057642e-11,6.53153963206532e-12,1.1974643499002013e-11
